,0,0.1,0.1.1
8858,才会是最有生命力的统一,才会是最有生命力的统一,0
1783,运动员滥用合成类固醇的几种方式成年男子睾丸分泌睾酮的速度是410毫克日,运动员滥用合成类醇醇的几种方式成成女子丸丸分泌泌酮的速度是4100日克,1
4088,而市场经济所创造的自主性或自治性人格和契约性人际关系,而市场经济所创造的自主性或自治性格和契契约性人关系,0
8842,其原因正如上文所指出的,其原因正如上文所指出的,0
11352,在明末即已半仰食江楚庐安之粟11,在明末即已半仰食江楚庐安之迁11,0
2824,青少年的心理特征之一就是他们的心理状态比较活跃,青少年的心理特征之一就是她们的心理状态比较活跃,1
11934,这部分才是作者的目的之所在,这部分才是作者的目之所在,0
14418,在集体内实行按需分配,在集体内实按按分配,0
8649,4以各种文艺形式出现的党和国家领导人,4以各种文艺形式出现的和国家领导人,0
14304,他对丹纳作了如下评价泰纳即丹纳笔者,她对丹纳作了如下评价泰纳即丹纳笔者,1
1634,都有可能取得好成绩,都有可能取得好成绩,0
8978,他们的主动性积极性以及智慧和创造力,她们的主动性积极性以及智慧和创造力,1
8937,个人行为应成为他人的榜样,个人行为应成为她人的榜样,1
11906,使我们对吴越地区群众对子鼠母神的信仰,使我们对吴越地区群众对子鼠父神的信仰,1
5717,即文学艺术是属于一切时代的,即文学艺术是属于一切时代的,0
9272,正在开展欧洲澳门商业发展计划专题研究,正在开展欧洲澳门商业发展计划业题研究,0
9395,而是从与其他现象的关系中来解释艺术品的现象,而是从与其她现象的关系中来解释艺术品的现象,1
737,整个经济的高速扩张,整个经济的高速张,0
2801,１９３３年７月５日,１９３３年７月５日,0
13313,都在他天赋允许的范围内充分发展,都在她天赋允许的范围内充分发展,1
9514,且开发利用难度大质量差,且开发利用难度大质量差,0
10383,他一针见血地指出政治是人民的根本利害深刻揭示了新时期共产党的政治本质,她针针针血地指出政治是人民的根本利深刻揭示示了新时期共产党的政治本质,1
2374,他们经过充分的论证,她们经过充分的论证,1
10302,不仅是他们灿烂的思想,不仅是她们灿烂的思想,1
4674,斯大林时代主管意识形态的日丹诺夫,斯大林时代主管意识形态的日丹诺夫,0
9167,１１为了促使女性的觉醒,１１为促使使男性觉醒,1
12533,大量增设非竞技类课程,大量增设非竞技类课程,0
12107,记者们可以通过人机对话对运动员进行采访,记者们可以通过人机对话对运动员进行访,0
1405,多个申报人可以作为联合申报人提交一份申报资料,多个申报人可以作为联合申报报人提一份申报资料,0
1662,他于１９５４年发表了无限劳动力供给条件下的经济发展一文,她于１９５４年发表了无限劳动力供给条件下的经济发展一文,1
13854,诏命各王多纳女子事,诏命各王多纳男事,1
13582,他提出了一个新论点,她提出了一个新论点,1
6617,成功地运用分化瓦解其他政党的手腕,成功地运用分化瓦解其她政党的手腕,1
5365,我十分欣赏他对鲁迅矛盾内心的颇有张力的描述,我十分欣赏她对鲁迅矛盾内心的颇有张力的描述,1
12778,我国奴隶制文明尚处在青铜时代,我国奴隶制文明尚处于青铜时代,0
6560,伦理学有责任努力适应经济全球化趋势,伦理学有责任努力适应经济全球化趋势,0
9656,以为他们的许多谬误都出在没有历史观念上注胡适文学进化观念与戏剧改良,以为她们的许多误误都出在没有历史观念上注胡适文学史进观念念戏与改良,1
12415,韩少功放弃了他的惯用口吻,韩少功放弃了她的惯用口吻,1
9089,他们也都极力强调个人的觉悟和个人责任心的作用问题,她们也都极强调个个人的觉悟和个人责任心的作用问题,1
5902,三是在经济面临西欧和日本的挑战,三是在经济面临西欧和日本的挑战,0
11790,为企业提供服务,为企业提供服务,0
7824,他肯定要在深入的改革年代遇到新的人生困惑,她肯定要在深入的改革年代遇到新的人生困惑,1
9381,还是区域集团及集团内部各成员国之间的矛盾几乎均以经济为中心而展开,还是区集团集团集团内部成员国际之间的矛盾几乎均以经济为中心而展开,0
2897,提高妇女地位,提高妇男地位,1
13637,现在他们也越来越倾向于直接的道德调控,现在她们也越来越倾向于直接的道德调控,1
4536,设第层的弹性模量泊松比膨胀系数及厚度分别为,设计层的弹性量成松松比污膨系数及厚度分别为,0
9579,在许多测控部门并不要求严格的实时控制,在许多测控部门并不要求严格的实时控制,0
7143,而且在最低存款数额取款次数支票服务和特殊服务等诸多项目提出很多令人满意的优惠条件,而且最最存款款款款取次次票票服务和特殊服务等诸多项目提出出很多令令人意的优惠条件,0
269,无疑是让农业生产者在不等价交换条件下牺牲他们的部分利益,无疑是让农业生产者在不等价交换条件下牺牲她们的部分利益,1
6857,使他能更好地为社会谋福利,使她能更好地为社会谋福利,1
8058,均有一定比例的男教师,均有一定比例的女教师,1
8202,在如何向社会主义过渡的问题上他通过社会主义改造的办法,在如何向社会主义过渡的问题上她通过社会主义改造的办法,1
3718,推动社会变革的武器,推动社会变革的武器,0
11374,调动他们的积极性和创造性,调动她们的积极性和创性,1
14560,大力加强小城镇建设,大力加强小城镇建设,0
2882,他们没有实际的力量,她们没有实际的力量,1
4209,追求自己的小叔子,追求自己的小子,1
11031,能够从部分信息或有适当畸变的信息联想出相应的存储在联想记忆神经网络中的完整的记忆信息1,能够从部分信息有适当相当变息的联想中对联应的存储在联想记忆神经网络中的完整史记记忆的信,0
991,当地乒协又需要她们出赛,当地乒协又需要他们出赛,1
9049,他不只关注自己的本行,她不只关注自己的本行,1
11185,加重了子女学习负担,加重了子男学负担担,1
5257,发展经济学大多主张,发展经济学大多主张,0
12122,占在校生总人数的1828本科生21545人,占在校生总人数的1828本科技21545人,0
7202,都深深感到鲁迅先生实际上并无意于描绘一个毛骨悚然,都深深感到鲁迅女士实际上并无意于描绘一个毛骨悚然,1
13418,需要研究它的影响因素,需要研究它的影响因素,0
10582,世界人口的不断增长,世界人口的不断增长,0
2966,全国有6300多家大中型骨干乡镇企业,全国有6300多家大中型骨干乡镇企业,0
4333,而在有点儿疼中,而在有点儿中,0
184,但他的被误读受冷漠却已成事实,但她的被误读受冷却却已成事实,1
4357,他们中对脱盲表示有信心的在70以上而认为是被迫扫盲的有143的人,她们对中脱脱示表有信心的770以上的认为是被扫扫盲的有143人的,1
3998,其头足倒置的弊病姑且不论,其头足倒置的弊病或且不论,1
3620,与同一链路的其他传输流无关,与同一链路的其她传输流无关,1
5071,导致法治在基层走样,导致法治在基层走样,0
7286,每个人都应该用知识培养自己的创造力,每个人都应该用知识培养自己的创造力,0
13627,其目的是要获得高置信度来完成和实现航天任务,其目的是要获得高置信度来完成和实现航天任务,0
1803,毛泽东无法证明他构想的新村中人的劳动肯定是令人愉悦的,毛泽东无法证明她构想的村村中国的劳动肯定是令人愉悦的,1
3357,中央民院调出教师３４１人,中央民院请出教师３４１人,0
10135,它存在于政府及各级教育工作者学生及学生家长和其他社会成员的心目之中,它存在于政府及各级教育工作者学生及学生生长和其她社会成员的心目之中,1
6830,情节严重的三是国家工作人员指使强令他人实施前两条行为的,情节严重的三是国家工作人员指使强令她人实施前两条行为的,1
150,就认为他的工作天然地具有文学研究的性质,就认为她的工作天然地具有文学研究的性质,1
6470,专职教师莫名其妙地不愿承认他们校园中的教学活动所发生的一切,专职教师莫名其妙地不愿承认她们校园中的教学活动所生的一切,1
3592,其他文章没有重载,其她文章没有重载,1
6973,钱钟叔的围城,钱钟姑的城,1
5150,那么约旦穆斯林兄弟会显然也在此列,那么约旦穆斯林姐妹会显然也在此列,1
11529,目的节点的数目为,目的节点数目为,0
7412,首先必须了解宾馆工作的特点,首先必须了解宾馆工作的特点,0
5097,兄弟环之间不相互包含,姐妹环之间不相互包含,1
65,其他问题就迎刃而解了,其她问题就迎刃而解了,1
11848,然漕银岂可欠也,然竞银可可欠也,0
4498,他主张把社会条件和人民大众的新闻需求结合起来研究,她主张把社会条件和人民大众的新闻需求结合起来研究,1
7773,他不但使自己的作品成了举世瞩目的艺术品,她不但使自己的作品成了世瞩瞩目的艺术品,1
6271,左翼批评家中那些十分尊崇鲁迅及其作品的人是从自我的实感当中将鲁迅与其他人相区别的,左翼批评家那那些分就崇鲁鲁迅及其作品的人是从我我的自应当中将鲁迅与其她人相区别的,1
12317,文焕然先生则以为可信,文焕然女士则以为可信,1
7957,因为法制的核心是法律面前人人平等,因为法制的核心是法律面前人人平等,0
3881,它还具有其他的一些优点,它还具有其她的一些优点,1
6238,雄辩地说明了中国共产党是抗日战争中流砥柱这一史实和真理,雌地地说明了中国共产党是抗日战争中流折；这一史实和真理,1
1598,在范畴和体系规范等方面有重大的模糊现象,在范畴和体系规范等方面有重大的模糊现象,0
7922,譬如黄子平在他的沉思的老树的精灵一书中,譬如黄子平在她的沉思的老树的精灵一书中,1
4414,在这个意义上,在这个意义上,0
4850,这是当前农业发展面临的现实问题,这是当前农业发展面临的现实问题,0
4024,马德波先生在影运环流长篇论文中,马德波女士在影运流长篇篇论文中,1
4350,周恩来文艺思想新论王凤胜著,周恩来文艺思想新论王凤雷著,0
5816,林先生即于1997年12月7日在广州病逝,林女士即于1997年12月7日在广州病逝,1
5503,但可以抑制卵母细胞第一极体的释放,但可以抑制卵父细胞第一极体的释放,1
